⟨ϵ⟩, ⟨|m|⟩
-1.99264, 0.995009
-1.99265, 0.995014
-1.99266, 0.995018
-1.99265, 0.995018
-1.99265, 0.995023
-1.99265, 0.995024
-1.99265, 0.995027
-1.99265, 0.995031
-1.99266, 0.995036
-1.99267, 0.99504
-1.99267, 0.995045
-1.99268, 0.995049
-1.99267, 0.99505
-1.99266, 0.99505
-1.99266, 0.995053
-1.99267, 0.995058
-1.99268, 0.995062
-1.99268, 0.995067
-1.99269, 0.995071
-1.9927, 0.995075
-1.9927, 0.99508
-1.99271, 0.995084
-1.99272, 0.995088
-1.99272, 0.995093
-1.99273, 0.995097
-1.99273, 0.995101
-1.99274, 0.995106
-1.99275, 0.99511
-1.99275, 0.995114
-1.99274, 0.995113
-1.99273, 0.995114
-1.99274, 0.995118
-1.99274, 0.995123
-1.99274, 0.995124
-1.99274, 0.995127
-1.99275, 0.995131
-1.99275, 0.995135
-1.99276, 0.99514
-1.99277, 0.995144
-1.99277, 0.995148
-1.99278, 0.995152
-1.99278, 0.995156
-1.99279, 0.995161
-1.9928, 0.995165
-1.99279, 0.995165
-1.99279, 0.995169
-1.9928, 0.995173
-1.9928, 0.995177
-1.99281, 0.995181
